ENSG00000243485	MIR1302-2HG
ENSG00000173166	RAPH1
ENSG00000178562	CD28
ENSG00000163599	CTLA4
ENSG00000163600	ICOS
ENSG00000234714	AC009965.1
ENSG00000237271	AC009498.1
ENSG00000236634	AC016903.1
ENSG00000237843	AC016903.2
ENSG00000116117	PARD3B
ENSG00000118257	NRP2
ENSG00000225216	AC007362.1
ENSG00000225610	AC007679.1
ENSG00000114933	INO80D
ENSG00000227946	AC007383.2
ENSG00000023228	NDUFS1
ENSG00000231955	AC007383.3
ENSG00000114942	EEF1B2
ENSG00000183671	GPR1
ENSG00000204186	ZDBF2
ENSG00000114948	ADAM23
ENSG00000228577	AC010731.2
ENSG00000231653	AC010731.3
ENSG00000235118	FAM237A
ENSG00000232125	DYTN
ENSG00000138400	MDH1B
ENSG00000118246	FASTKD2
ENSG00000260171	AC008269.2
ENSG00000229321	AC008269.1
ENSG00000144410	CPO
ENSG00000118263	KLF7
ENSG00000224342	AC007879.1
ENSG00000234902	AC007879.3
ENSG00000225916	AC007879.2
ENSG00000240440	AC007879.4
ENSG00000229647	MYOSLID
ENSG00000223725	AC009226.1
ENSG00000225064	LINC01802
ENSG00000118260	CREB1
ENSG00000144401	METTL21A
ENSG00000224137	LINC01857
ENSG00000163249	CCNYL1
ENSG00000272851	AC096772.1
ENSG00000163251	FZD5
ENSG00000178385	PLEKHM3
ENSG00000118231	CRYGD
ENSG00000163254	CRYGC
ENSG00000182187	CRYGB
ENSG00000168582	CRYGA
ENSG00000188674	C2orf80
ENSG00000138413	IDH1
ENSG00000231908	IDH1-AS1
ENSG00000115020	PIKFYVE
ENSG00000144407	PTH2R
ENSG00000078018	MAP2
ENSG00000144406	UNC80
ENSG00000197713	RPE
ENSG00000144445	KANSL1L
ENSG00000272807	AC007038.2
ENSG00000229127	AC007038.1
ENSG00000115361	ACADL
ENSG00000168530	MYL1
ENSG00000234281	LANCL1-AS1
ENSG00000115365	LANCL1
ENSG00000021826	CPS1
ENSG00000178568	ERBB4
ENSG00000234308	LINC01878
ENSG00000223373	AC108066.1
ENSG00000030419	IKZF2
ENSG00000270659	AC079610.2
ENSG00000236193	LINC01953
ENSG00000272519	AC079610.3
ENSG00000196096	AC079610.1
ENSG00000144451	SPAG16
ENSG00000197585	AC068051.1
ENSG00000174453	VWC2L
ENSG00000138376	BARD1
ENSG00000229267	AC016708.1
ENSG00000144452	ABCA12
ENSG00000227769	AC072062.1
ENSG00000237571	AC073284.1
ENSG00000138363	ATIC
ENSG00000115414	FN1
ENSG00000230695	AC012462.3
ENSG00000225166	AC012462.1
ENSG00000228618	AC012462.2
ENSG00000234938	AC012668.2
ENSG00000237525	AC012668.3
ENSG00000227981	AC012668.1
ENSG00000235770	LINC00607
ENSG00000230838	LINC01614
ENSG00000227824	AC122136.1
ENSG00000226276	AC093382.1
ENSG00000118242	MREG
ENSG00000115425	PECR
ENSG00000163449	TMEM169
ENSG00000079246	XRCC5
ENSG00000260804	LINC01963
ENSG00000144583	MARCH4
ENSG00000231092	AC012513.1
ENSG00000233581	AC069155.1
ENSG00000235042	AC098820.2
ENSG00000138375	SMARCAL1
ENSG00000241520	AC098820.3
ENSG00000197756	RPL37A
ENSG00000224391	LINC01280
ENSG00000225794	AC073321.1
ENSG00000115457	IGFBP2
ENSG00000115461	IGFBP5
ENSG00000236886	AC007563.2
ENSG00000229352	AC007563.1
ENSG00000231597	AC007557.2
ENSG00000118245	TNP1
ENSG00000237479	AC007557.4
ENSG00000227021	AC007557.1
ENSG00000236295	AC007557.3
ENSG00000223874	LINC01921
ENSG00000259855	AC007749.1
ENSG00000233143	DIRC3-AS1
ENSG00000231672	DIRC3
ENSG00000079308	TNS1
ENSG00000223923	AC010136.1
ENSG00000188282	RUFY4
ENSG00000180871	CXCR2
ENSG00000163464	CXCR1
ENSG00000163466	ARPC2
ENSG00000179921	GPBAR1
ENSG00000127837	AAMP
ENSG00000127838	PNKD
ENSG00000135926	TMBIM1
ENSG00000237281	CATIP-AS2
ENSG00000158428	CATIP
ENSG00000018280	SLC11A1
ENSG00000144579	CTDSP1
ENSG00000273361	AC021016.3
ENSG00000127831	VIL1
ENSG00000135913	USP37
ENSG00000144580	CNOT9
ENSG00000115556	PLCD4
ENSG00000273466	AC012510.1
ENSG00000115568	ZNF142
ENSG00000074582	BCS1L
ENSG00000163481	RNF25
ENSG00000163482	STK36
ENSG00000135912	TTLL4
ENSG00000135929	CYP27A1
ENSG00000272555	AC009974.1
ENSG00000115592	PRKAG3
ENSG00000115596	WNT6
ENSG00000135925	WNT10A
ENSG00000228135	LINC01494
ENSG00000235024	AC097468.2
ENSG00000171450	CDK5R2
ENSG00000236445	LINC00608
ENSG00000163497	FEV
ENSG00000163499	CRYBA2
ENSG00000224090	AC097468.1
ENSG00000181378	CFAP65
ENSG00000163501	IHH
ENSG00000272644	AC097468.3
ENSG00000187736	NHEJ1
ENSG00000280537	AC068946.1
ENSG00000213901	SLC23A3
ENSG00000115649	CNPPD1
ENSG00000144567	RETREG2
ENSG00000158552	ZFAND2B
ENSG00000115657	ABCB6
ENSG00000284820	AC068946.2
ENSG00000198925	ATG9A
ENSG00000163516	ANKZF1
ENSG00000163521	GLB1L
ENSG00000115661	STK16
ENSG00000127824	TUBA4A
ENSG00000243910	TUBA4B
ENSG00000135924	DNAJB2
ENSG00000054356	PTPRN
ENSG00000230432	AC114803.1
ENSG00000182698	RESP18
ENSG00000123992	DNPEP
ENSG00000229525	AC053503.2
ENSG00000175084	DES
ENSG00000234638	AC053503.4
ENSG00000072195	SPEG
ENSG00000227432	AC053503.1
ENSG00000268603	AC053503.5
ENSG00000144591	GMPPA
ENSG00000072182	ASIC4
ENSG00000123989	CHPF
ENSG00000188760	TMEM198
ENSG00000268896	AC009955.3
ENSG00000124006	OBSL1
ENSG00000269068	AC009955.4
ENSG00000123999	INHA
ENSG00000144589	STK11IP
ENSG00000228973	AC009955.1
ENSG00000114923	SLC4A3
ENSG00000267919	AC009955.2
ENSG00000227308	AC009502.1
ENSG00000228909	LINC01803
ENSG00000239498	AC019211.1
ENSG00000235337	AC093083.1
ENSG00000236451	AC067956.1
ENSG00000224819	AC093843.1
ENSG00000116106	EPHA4
ENSG00000272944	AC079834.2
ENSG00000234446	AC068489.1
ENSG00000135903	PAX3
ENSG00000163081	CCDC140
ENSG00000267034	AC010980.2
ENSG00000163082	SGPP2
ENSG00000261428	AC097461.1
ENSG00000116120	FARSB
ENSG00000124003	MOGAT1
ENSG00000123983	ACSL3
ENSG00000234193	AC013476.1
ENSG00000152049	KCNE4
ENSG00000231189	AC013448.1
ENSG00000235610	AC013448.2
ENSG00000171951	SCG2
ENSG00000152056	AP1S3
ENSG00000085449	WDFY1
ENSG00000135900	MRPL44
ENSG00000228802	AC073641.1
ENSG00000135919	SERPINE2
ENSG00000124019	FAM124B
ENSG00000274629	AC073052.2
ENSG00000036257	CUL3
ENSG00000283428	CCDC195
ENSG00000135905	DOCK10
ENSG00000144460	NYAP2
ENSG00000273301	AC016717.2
ENSG00000235070	AC062015.1
ENSG00000169047	IRS1
ENSG00000272622	AC010735.2
ENSG00000144468	RHBDD1
ENSG00000081052	COL4A4
ENSG00000169031	COL4A3
ENSG00000236432	AC097662.1
ENSG00000168958	MFF
ENSG00000168955	TM4SF20
ENSG00000284629	SCYGR1
ENSG00000173744	AGFG1
ENSG00000284643	SCYGR2
ENSG00000284622	SCYGR10
ENSG00000042304	C2orf83
ENSG00000284704	SCYGR3
ENSG00000236116	AC064853.1
ENSG00000284631	SCYGR4
ENSG00000284667	SCYGR5
ENSG00000135917	SLC19A3
ENSG00000284725	SCYGR6
ENSG00000284718	SCYGR7
ENSG00000284635	SCYGR8
ENSG00000115009	CCL20
ENSG00000123977	DAW1
ENSG00000153820	SPHKAP
ENSG00000232023	LINC01807
ENSG00000228226	AC012070.1
ENSG00000153823	PID1
ENSG00000187957	DNER
ENSG00000153827	TRIP12
ENSG00000153832	FBXO36
ENSG00000163053	SLC16A14
ENSG00000225963	AC009950.1
ENSG00000135899	SP110
ENSG00000079263	SP140
ENSG00000185404	SP140L
ENSG00000067066	SP100
ENSG00000235419	AC010149.1
ENSG00000226125	LINC01907
ENSG00000135932	CAB39
ENSG00000135916	ITM2C
ENSG00000232520	AC012507.2
ENSG00000135898	GPR55
ENSG00000230385	AC012507.1
ENSG00000283164	AC012507.4
ENSG00000238062	SPATA3-AS1
ENSG00000173699	SPATA3
ENSG00000204128	C2orf72
ENSG00000173692	PSMD1
ENSG00000135914	HTR2B
ENSG00000135931	ARMC9
ENSG00000156966	B3GNT7
ENSG00000233538	AC017104.3
ENSG00000115053	NCL
ENSG00000181798	LINC00471
ENSG00000171596	NMUR1
ENSG00000177673	TEX44
ENSG00000187514	PTMA
ENSG00000156973	PDE6D
ENSG00000144524	COPS7B
ENSG00000163273	NPPC
ENSG00000144535	DIS3L2
ENSG00000227033	AC019130.1
ENSG00000163283	ALPP
ENSG00000224516	AC068134.1
ENSG00000163286	ALPG
ENSG00000237087	AC068134.2
ENSG00000163295	ALPI
ENSG00000171551	ECEL1
ENSG00000237412	PRSS56
ENSG00000135902	CHRND
ENSG00000196811	CHRNG
ENSG00000221944	TIGD1
ENSG00000135930	EIF4E2
ENSG00000237126	AC073254.1
ENSG00000115468	EFHD1
ENSG00000204120	GIGYF2
ENSG00000115474	KCNJ13
ENSG00000182600	SNORC
ENSG00000066248	NGEF
ENSG00000115488	NEU2
ENSG00000168918	INPP5D
ENSG00000085978	ATG16L1
ENSG00000130561	SAG
ENSG00000259793	AC013726.1
ENSG00000077044	DGKD
ENSG00000085982	USP40
ENSG00000242366	UGT1A8
ENSG00000242515	UGT1A10
ENSG00000241119	UGT1A9
ENSG00000244122	UGT1A7
ENSG00000167165	UGT1A6
ENSG00000224814	AC114812.2
ENSG00000240224	UGT1A5
ENSG00000244474	UGT1A4
ENSG00000243135	UGT1A3
ENSG00000241635	UGT1A1
ENSG00000185038	MROH2A
ENSG00000123485	HJURP
ENSG00000144481	TRPM8
ENSG00000237581	AC005538.1
ENSG00000072080	SPP2
ENSG00000226442	AC006037.1
ENSG00000261298	AC122134.1
ENSG00000228162	AC097713.1
ENSG00000231682	LINC01891
ENSG00000188042	ARL4C
ENSG00000280744	LINC01173
ENSG00000130147	SH3BP4
ENSG00000226542	AC114814.1
ENSG00000235293	AC114814.3
ENSG00000157985	AGAP1
ENSG00000222007	AC064874.1
ENSG00000168505	GBX2
ENSG00000233611	AC019068.1
ENSG00000182177	ASB18
ENSG00000132321	IQCA1
ENSG00000270540	AC093915.1
ENSG00000232893	IQCA1-AS1
ENSG00000144476	ACKR3
ENSG00000232328	AC084030.1
ENSG00000124835	AC105760.1
ENSG00000227252	AC105760.2
ENSG00000198612	COPS8
ENSG00000224844	AC107079.1
ENSG00000224132	AC112715.1
ENSG00000163359	COL6A3
ENSG00000222022	AC112721.1
ENSG00000222032	AC112721.2
ENSG00000115648	MLPH
ENSG00000071677	PRLH
ENSG00000124839	RAB17
ENSG00000234949	AC104667.2
ENSG00000227107	AC104667.1
ENSG00000124831	LRRFIP1
ENSG00000177483	RBM44
ENSG00000132329	RAMP1
ENSG00000184182	UBE2F
ENSG00000258984	UBE2F-SCLY
ENSG00000132330	SCLY
ENSG00000144488	ESPNL
ENSG00000168427	KLHL30
ENSG00000178752	ERFE
ENSG00000132323	ILKAP
ENSG00000144485	HES6
ENSG00000132326	PER2
ENSG00000283635	AC012485.3
ENSG00000232306	AC012485.2
ENSG00000204104	TRAF3IP1
ENSG00000065802	ASB1
ENSG00000229915	AC016999.1
ENSG00000225493	LINC01107
ENSG00000234279	LINC01937
ENSG00000226992	AC145625.1
ENSG00000233608	TWIST2
ENSG00000227744	LINC01940
ENSG00000068024	HDAC4
ENSG00000222020	AC062017.1
ENSG00000196758	AC079612.1
ENSG00000227459	AC079612.2
ENSG00000259889	AC093802.2
ENSG00000220256	AC093802.1
ENSG00000130414	NDUFA10
ENSG00000182083	OR6B2
ENSG00000178586	OR6B3
ENSG00000172428	COPS9
ENSG00000178602	OTOS
ENSG00000227479	AC124861.1
ENSG00000063660	GPC1
ENSG00000144504	ANKMY1
ENSG00000188542	DUSP28
ENSG00000142327	RNPEPL1
ENSG00000260942	CAPN10-DT
ENSG00000142330	CAPN10
ENSG00000178623	GPR35
ENSG00000185176	AQP12B
ENSG00000219159	AC011298.1
ENSG00000184945	AQP12A
ENSG00000130294	KIF1A
ENSG00000172482	AGXT
ENSG00000172478	C2orf54
ENSG00000226321	CROCC2
ENSG00000223991	AC104809.1
ENSG00000162804	SNED1
ENSG00000229996	AC093585.1
ENSG00000225521	AC005237.1
ENSG00000122085	MTERF4
ENSG00000115687	PASK
ENSG00000115685	PPP1R7
ENSG00000146205	ANO7
ENSG00000115677	HDLBP
ENSG00000168385	SEPT2
ENSG00000223374	AC005104.1
ENSG00000006607	FARP2
ENSG00000115694	STK25
ENSG00000234235	BOK-AS1
ENSG00000176720	BOK
ENSG00000273113	AC133528.1
ENSG00000176946	THAP4
ENSG00000168397	ATG4B
ENSG00000168393	DTYMK
ENSG00000168395	ING5
ENSG00000235351	AC114730.3
ENSG00000180902	D2HGDH
ENSG00000215692	AC114730.1
ENSG00000234793	AC114730.2
ENSG00000154252	GAL3ST2
ENSG00000215023	AC131097.1
ENSG00000224272	AC131097.3
ENSG00000204099	NEU4
ENSG00000235151	AC131097.4
ENSG00000188389	PDCD1
ENSG00000188011	RTP5
ENSG00000216921	AC131097.2
ENSG00000237940	LINC01238
ENSG00000226423	AC093642.1
ENSG00000232002	LINC01880
ENSG00000261186	LINC01238
ENSG00000223587	LINC01986
ENSG00000224918	AC066595.1
ENSG00000134121	CHL1
ENSG00000234661	CHL1-AS1
ENSG00000224957	LINC01266
ENSG00000224239	AC090044.1
ENSG00000235158	AC087430.1
ENSG00000134115	CNTN6
ENSG00000225044	AC018814.1
ENSG00000144619	CNTN4
ENSG00000227588	CNTN4-AS2
ENSG00000237990	CNTN4-AS1
ENSG00000091181	IL5RA
ENSG00000072756	TRNT1
ENSG00000113851	CRBN
ENSG00000271870	AC024060.1
ENSG00000223727	AC034195.1
ENSG00000144455	SUMF1
ENSG00000175928	LRRN1
ENSG00000170364	SETMAR
ENSG00000231249	ITPR1-DT
ENSG00000150995	ITPR1
ENSG00000235947	EGOT
ENSG00000235978	AC018816.1
ENSG00000235831	BHLHE40-AS1
ENSG00000134107	BHLHE40
ENSG00000134108	ARL8B
ENSG00000233912	AC026202.2
ENSG00000268509	AC026202.3
ENSG00000134109	EDEM1
ENSG00000230944	AC026202.1
ENSG00000229642	AC087857.1
ENSG00000226022	AC026167.1
ENSG00000189229	AC069277.1
ENSG00000226258	GRM7-AS3
ENSG00000196277	GRM7
ENSG00000237665	GRM7-AS2
ENSG00000236202	GRM7-AS1
ENSG00000270207	AC068313.1
ENSG00000227110	LMCD1-AS1
ENSG00000228351	AC018832.1
ENSG00000231401	AC023481.1
ENSG00000071282	LMCD1
ENSG00000224884	AC034187.1
ENSG00000125046	SSUH2
ENSG00000182533	CAV3
ENSG00000180914	OXTR
ENSG00000070950	RAD18
ENSG00000196220	SRGAP3
ENSG00000224808	SRGAP3-AS1
ENSG00000228723	SRGAP3-AS2
ENSG00000227929	SRGAP3-AS3
ENSG00000235830	SRGAP3-AS4
ENSG00000254485	AC026191.1
ENSG00000206573	THUMPD3-AS1
ENSG00000134077	THUMPD3
ENSG00000168137	SETD5
ENSG00000156959	LHFPL4
ENSG00000163719	MTMR14
ENSG00000144550	CPNE9
ENSG00000156983	BRPF1
ENSG00000114026	OGG1
ENSG00000134072	CAMK1
ENSG00000171148	TADA3
ENSG00000241553	ARPC4
ENSG00000250151	ARPC4-TTLL3
ENSG00000214021	TTLL3
ENSG00000269886	AC022382.1
ENSG00000156990	RPUSD3
ENSG00000187288	CIDEC
ENSG00000171135	JAGN1
ENSG00000163701	IL17RE
ENSG00000163702	IL17RC
ENSG00000163703	CRELD1
ENSG00000163704	PRRT3
ENSG00000230082	PRRT3-AS1
ENSG00000269982	AC018809.2
ENSG00000125037	EMC3
ENSG00000206567	AC022007.1
ENSG00000144554	FANCD2
ENSG00000163705	FANCD2OS
ENSG00000254999	BRK1
ENSG00000134086	VHL
ENSG00000134070	IRAK2
ENSG00000157014	TATDN2
ENSG00000272410	AC022384.1
ENSG00000231177	LINC00852
ENSG00000157017	GHRL
ENSG00000240288	GHRLOS
ENSG00000157020	SEC13
ENSG00000157087	ATP2B2
ENSG00000226567	LINC00606
ENSG00000230599	AC018495.1
ENSG00000132164	SLC6A11
ENSG00000157103	SLC6A1
ENSG00000232287	SLC6A1-AS1
ENSG00000196639	HRH1
ENSG00000197548	ATG7
ENSG00000144560	VGLL4
ENSG00000271716	AC022001.2
ENSG00000272483	AC022001.3
ENSG00000144559	TAMM41
ENSG00000157152	SYN2
ENSG00000157150	TIMP4
ENSG00000132170	PPARG
ENSG00000154743	TSEN2
ENSG00000225526	MKRN2OS
ENSG00000075975	MKRN2
ENSG00000132155	RAF1
ENSG00000088726	TMEM40
ENSG00000144712	CAND2
ENSG00000272263	AC034198.2
ENSG00000144713	RPL32
ENSG00000232746	LINC02022
ENSG00000144711	IQSEC1
ENSG00000132182	NUP210
ENSG00000244502	HDAC11-AS1
ENSG00000163517	HDAC11
ENSG00000163520	FBLN2
ENSG00000224514	LINC00620
ENSG00000154764	WNT7A
ENSG00000163528	CHCHD4
ENSG00000170876	TMEM43
ENSG00000268279	AC090004.1
ENSG00000228242	AC093495.1
ENSG00000154767	XPC
ENSG00000170860	LSM3
ENSG00000255021	AC093496.1
ENSG00000251576	LINC01267
ENSG00000131389	SLC6A6
ENSG00000144596	GRIP2
ENSG00000283392	AC090952.2
ENSG00000235629	AC090952.1
ENSG00000154781	CCDC174
ENSG00000131379	C3orf20
ENSG00000230172	AC090957.1
ENSG00000260902	LINC02011
ENSG00000154783	FGD5
ENSG00000225733	FGD5-AS1
ENSG00000177463	NR2C2
ENSG00000131368	MRPS25
ENSG00000131381	RBSN
ENSG00000131375	CAPN7
ENSG00000224660	SH3BP5-AS1
ENSG00000131370	SH3BP5
ENSG00000206562	METTL6
ENSG00000144597	EAF1
ENSG00000249786	EAF1-AS1
ENSG00000206561	COLQ
ENSG00000131373	HACL1
ENSG00000169814	BTD
ENSG00000206560	ANKRD28
ENSG00000131386	GALNT15
ENSG00000154813	DPH3
ENSG00000154814	OXNAD1
ENSG00000131378	RFTN1
ENSG00000271964	AC090948.1
ENSG00000272498	AC090948.2
ENSG00000272529	AC090948.3
ENSG00000269391	AC010139.1
ENSG00000233570	LINC00690
ENSG00000092345	DAZL
ENSG00000229271	AC091493.1
ENSG00000154822	PLCL2
ENSG00000226441	PLCL2-AS1
ENSG00000131374	TBC1D5
ENSG00000226238	AC132807.1
ENSG00000274840	AC132807.2
ENSG00000182568	SATB1
ENSG00000183960	KCNH8
ENSG00000163576	EFHB
ENSG00000144566	RAB5A
ENSG00000183977	PP2D1
ENSG00000114166	KAT2B
ENSG00000129810	SGO1
ENSG00000261734	AC116096.1
ENSG00000282987	AC099753.1
ENSG00000151789	ZNF385D
ENSG00000225542	ZNF385D-AS1
ENSG00000223351	ZNF385D-AS2
ENSG00000233153	UBE2E2-AS1
ENSG00000182247	UBE2E2
ENSG00000223791	UBE2E1-AS1
ENSG00000170142	UBE2E1
ENSG00000197885	NKIRAS1
ENSG00000174748	RPL15
ENSG00000174738	NR1D2
ENSG00000224074	LINC00691
ENSG00000151090	THRB
ENSG00000272554	AC012087.1
ENSG00000237838	AC092422.1
ENSG00000077092	RARB
ENSG00000077097	TOP2B
ENSG00000151092	NGLY1
ENSG00000151093	OXSM
ENSG00000225386	AC099754.1
ENSG00000179796	LRRC3B
ENSG00000234165	AC114877.1
ENSG00000163491	NEK10
ENSG00000033867	SLC4A7
ENSG00000271943	AC098614.4
ENSG00000272282	LINC02084
ENSG00000163508	EOMES
ENSG00000225548	LINC01980
ENSG00000229243	LINC01981
ENSG00000235493	LINC01967
ENSG00000187118	CMC1
ENSG00000163512	AZI2
ENSG00000206559	ZCWPW2
ENSG00000283563	AC098650.1
ENSG00000144642	RBMS3
ENSG00000235904	RBMS3-AS3
ENSG00000203506	RBMS3-AS2
ENSG00000235593	RBMS3-AS1
ENSG00000227260	LINC01985
ENSG00000227549	AC116035.1
ENSG00000163513	TGFBR2
ENSG00000144644	GADL1
ENSG00000163527	STT3B
ENSG00000144645	OSBPL10
ENSG00000232490	OSBPL10-AS1
ENSG00000197385	ZNF860
ENSG00000152642	GPD1L
ENSG00000170293	CMTM8
ENSG00000153551	CMTM7
ENSG00000091317	CMTM6
ENSG00000144635	DYNC1LI1
ENSG00000182973	CNOT10
ENSG00000251224	CNOT10-AS1
ENSG00000206557	TRIM71
ENSG00000183813	CCR4
ENSG00000170266	GLB1
ENSG00000188167	TMPPE
ENSG00000170275	CRTAP
ENSG00000272149	AC112211.1
ENSG00000173705	SUSD5
ENSG00000153558	FBXL2
ENSG00000153560	UBP1
ENSG00000163539	CLASP2
ENSG00000271324	AC112220.3
ENSG00000271643	AC112220.4
ENSG00000271020	AC112220.2
ENSG00000170248	PDCD6IP
ENSG00000226320	LINC01811
ENSG00000236452	AC123023.1
ENSG00000227498	AC018359.1
ENSG00000172995	ARPP21
ENSG00000230830	ARPP21-AS1
ENSG00000144681	STAC
ENSG00000163673	DCLK3
ENSG00000279727	LINC02033
ENSG00000168016	TRANK1
ENSG00000272334	AC011816.2
ENSG00000178567	EPM2AIP1
ENSG00000076242	MLH1
ENSG00000093167	LRRFIP2
ENSG00000271993	AC126118.1
ENSG00000271653	AC097359.3
ENSG00000270194	AC097359.2
ENSG00000144674	GOLGA4
ENSG00000144668	ITGA9
ENSG00000144677	CTDSPL
ENSG00000136059	VILL
ENSG00000187091	PLCD1
ENSG00000008226	DLEC1
ENSG00000060971	ACAA1
ENSG00000172936	MYD88
ENSG00000172939	OXSR1
ENSG00000172940	SLC22A13
ENSG00000144671	SLC22A14
ENSG00000093217	XYLB
ENSG00000229589	ACVR2B-AS1
ENSG00000114739	ACVR2B
ENSG00000157036	EXOG
ENSG00000183873	SCN5A
ENSG00000185313	SCN10A
ENSG00000231243	AC116038.1
ENSG00000168356	SCN11A
ENSG00000114742	WDR48
ENSG00000114745	GORASP1
ENSG00000168026	TTC21A
ENSG00000144655	CSRNP1
ENSG00000284669	AC092053.3
ENSG00000283849	AC092053.2
ENSG00000168334	XIRP1
ENSG00000168329	CX3CR1
ENSG00000179934	CCR8
ENSG00000144659	SLC25A38
ENSG00000168028	RPSA
ENSG00000168314	MOBP
ENSG00000170011	MYRIP
ENSG00000114784	EIF1B
ENSG00000223797	ENTPD3-AS1
ENSG00000168032	ENTPD3
ENSG00000188846	RPL14
ENSG00000177873	ZNF619
ENSG00000177842	ZNF620
ENSG00000172888	ZNF621
ENSG00000226302	AC122683.1
ENSG00000231873	AC099560.1
ENSG00000233096	AC099541.1
ENSG00000233919	AC009743.1
ENSG00000168036	CTNNB1
ENSG00000168038	ULK4
ENSG00000182606	TRAK1
ENSG00000187094	CCK
ENSG00000281160	AC018358.1
ENSG00000157093	LYZL4
ENSG00000114812	VIPR1
ENSG00000232354	VIPR1-AS1
ENSG00000093183	SEC22C
ENSG00000008324	SS18L2
ENSG00000114857	NKTR
ENSG00000230084	AC006059.1
ENSG00000114853	ZBTB47
ENSG00000157119	KLHL40
ENSG00000244607	CCDC13
ENSG00000010282	HHATL
ENSG00000230970	HHATL-AS1
ENSG00000173811	CCDC13-AS1
ENSG00000280571	AC099329.3
ENSG00000225611	LINC02158
ENSG00000181061	HIGD1A
ENSG00000235288	AC099329.1
ENSG00000144648	ACKR2
ENSG00000273291	AC092042.3
ENSG00000240747	KRBOX1
ENSG00000180432	CYP8B1
ENSG00000182983	ZNF662
ENSG00000206552	KRBOX1-AS1
ENSG00000144649	FAM198A
ENSG00000144647	POMGNT2
ENSG00000227245	AC092042.1
ENSG00000163788	SNRK
ENSG00000271941	AC104184.1
ENSG00000234617	SNRK-AS1
ENSG00000160746	ANO10
ENSG00000011198	ABHD5
ENSG00000235886	AC006055.1
ENSG00000271192	AC006058.2
ENSG00000272121	AC006058.3
ENSG00000261786	AC006058.1
ENSG00000173769	TOPAZ1
ENSG00000271937	AC104187.1
ENSG00000179152	TCAIM
ENSG00000283036	LINC01988
ENSG00000185219	ZNF445
ENSG00000178917	ZNF852
ENSG00000196345	ZKSCAN7
ENSG00000236869	AC099669.1
ENSG00000144792	ZNF660
ENSG00000186448	ZNF197
ENSG00000233509	ZNF197-AS1
ENSG00000169981	ZNF35
ENSG00000272077	AC124045.1
ENSG00000196653	ZNF502
ENSG00000186446	ZNF501
ENSG00000163807	KIAA1143
ENSG00000163808	KIF15
ENSG00000169964	TMEM42
ENSG00000163810	TGM4
ENSG00000235845	AC098649.1
ENSG00000163812	ZDHHC3
ENSG00000075914	EXOSC7
ENSG00000163815	CLEC3B
ENSG00000163814	CDCP1
ENSG00000249992	TMEM158
ENSG00000011376	LARS2
ENSG00000232455	LARS2-AS1
ENSG00000144791	LIMD1
ENSG00000211456	SACM1L
ENSG00000163817	SLC6A20
ENSG00000163818	LZTFL1
ENSG00000173585	CCR9
ENSG00000163820	FYCO1
ENSG00000172215	CXCR6
ENSG00000173578	XCR1
ENSG00000183625	CCR3
ENSG00000163823	CCR1
ENSG00000121807	CCR2
ENSG00000223552	AC098613.1
ENSG00000160791	CCR5
ENSG00000121797	CCRL2
ENSG00000283646	LINC02009
ENSG00000012223	LTF
ENSG00000163825	RTP3
ENSG00000163827	LRRC2
ENSG00000268324	LRRC2-AS1
ENSG00000241186	TDGF1
ENSG00000283877	AC104304.1
ENSG00000283473	FAM240A
ENSG00000178038	ALS2CL
ENSG00000181585	TMIE
ENSG00000283706	PRSS50
ENSG00000206549	PRSS50
ENSG00000188086	PRSS45
ENSG00000284672	AC109583.3
ENSG00000178055	PRSS42
ENSG00000160808	MYL3
ENSG00000160801	PTH1R
ENSG00000160799	CCDC12
ENSG00000160796	NBEAL2
ENSG00000181555	SETD2
ENSG00000227398	KIF9-AS1
ENSG00000088727	KIF9
ENSG00000114648	KLHL18
ENSG00000260236	AC099778.1
ENSG00000076201	PTPN23
ENSG00000114650	SCAP
ENSG00000163832	ELP6
ENSG00000114646	CSPG5
ENSG00000173473	SMARCC1
ENSG00000132153	DHX30
ENSG00000047849	MAP4
ENSG00000164045	CDC25A
ENSG00000164047	CAMP
ENSG00000164048	ZNF589
ENSG00000172113	NME6
ENSG00000229453	SPINK8
ENSG00000164049	FBXW12
ENSG00000164050	PLXNB1
ENSG00000164051	CCDC51
ENSG00000232112	TMA7
ENSG00000244380	AC134772.1
ENSG00000164053	ATRIP
ENSG00000213689	TREX1
ENSG00000164054	SHISA5
ENSG00000114268	PFKFB4
ENSG00000145040	UCN2
ENSG00000114270	COL7A1
ENSG00000010256	UQCRC1
ENSG00000183396	TMEM89
ENSG00000225697	SLC26A6
ENSG00000008300	CELSR3
ENSG00000228350	LINC02585
ENSG00000271973	AC141002.1
ENSG00000213672	NCKIPSD
ENSG00000068745	IP6K2
ENSG00000114302	PRKAR2A
ENSG00000224424	PRKAR2A-AS1
ENSG00000178537	SLC25A20
ENSG00000221883	ARIH2OS
ENSG00000177479	ARIH2
ENSG00000235236	AC137630.2
ENSG00000223343	AC137630.1
ENSG00000273211	AC137630.4
ENSG00000178467	P4HTM
ENSG00000178252	WDR6
ENSG00000178149	DALRD3
ENSG00000178057	NDUFAF3
ENSG00000178035	IMPDH2
ENSG00000272434	AC137630.3
ENSG00000198218	QRICH1
ENSG00000172053	QARS
ENSG00000172046	USP19
ENSG00000172037	LAMB2
ENSG00000177352	CCDC71
ENSG00000185909	KLHDC8B
